Accident,,2.7,%,3.8,%,3.5,%,2.8,%,3.2,%,2.3,%,3,%,1.6,%,1.6,%,2.7,%,2.5,%,3,%,1.9,%,3.1,%,2.4,%,2.4,%,1.8,%,2,%,2.5,%,2,%
Homicide/d,,1.9,%,2,%,1.9,%,1.5,%,2.4,%,2.1,%,3.3,%,1.8,%,1.7,%,2.4,%,2.2,%,2.4,%,2.3,%,2.8,%,2.4,%,2.7,%,2.9,%,2.6,%,2.4,%,2.1,%
Other/unknown,,1.9,%,2.5,%,3.6,%,5.2,%,4.9,%,10.5,%,4.8,%,6.5,%,0.8,%,2.6,%,1.4,%,2.4,%,2.6,%,1.9,%,2.3,%,3.1,%,2.3,%,2.4,%,2.6,%,2.1,%
Missing,,0.3,%,0.7,%,0.7,%,1,%,0.9,%,1.8,%,0.4,%,1.8,%,21.2,%,2.9,%,2.8,%,1.1,%,0.9,%,2.7,%,1.3,%,2.5,%,1.7,%,3.3,%,1.1,%,2.8,%
Note: Data may have been revised from previously published statistics. Details may not sum to totals due to rounding. See Methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/In 2008, a high number of illness cases were missing cause of death information and were classified as missing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes homicides committed by other inmates, incidental to the use of force by staff, and resulting from assaults sustained prior to incarceration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
