Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt19.csv,,,,,,,,,,,,,,,,,,,,,
"Table 19. Number of deaths of local jail inmates, by state, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 19. Number of deaths of local jail inmates, by state, 2000–2019",,,,,,,,,,,,,,,,,,,,,
State,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Nebraska,,5,5,6,2,4,2,6,2,5,7,6,5,4,7,8,3,5,12,8,4
Nevada,,15,18,6,6,8,14,9,10,8,14,8,13,12,10,10,18,14,12,13,16
New Hampshire,,3,2,5,3,3,1,4,4,2,5,1,4,3,1,1,0,7,4,4,6
New Jersey,,31,17,17,38,34,32,36,34,27,25,29,20,25,23,32,26,25,18,19,14
New Mexico,,15,9,9,7,17,11,21,15,11,11,17,23,16,10,10,15,18,11,7,16
New York,,57,52,51,47,43,51,52,52,32,37,37,36,40,40,37,32,33,17,29,22
North Carolina,,15,17,32,22,21,17,21,28,19,23,24,17,25,21,23,33,21,36,32,35
North Dakota,,1,1,2,2,1,0,2,1,1,2,2,1,3,5,3,2,2,1,6,0
Ohio,,23,20,30,30,18,24,26,26,23,26,23,28,33,30,29,31,29,40,48,41
Oklahoma,,15,18,9,13,14,18,21,24,17,18,18,12,13,16,19,16,32,9,16,18
Oregon,,10,10,7,7,15,8,11,3,15,7,9,8,3,4,9,14,6,13,11,12
Pennsylvania,,38,50,51,53,66,57,56,55,44,37,31,46,59,41,48,54,47,49,59,63
South Carolina,,17,23,17,11,16,19,21,14,19,15,19,7,22,21,15,18,14,29,19,22
South Dakota,,4,2,1,0,1,3,1,1,2,2,0,1,0,2,1,6,8,0,2,1
Tennessee,,28,28,29,23,39,36,30,35,37,32,20,39,34,27,29,36,43,42,50,39
Texas,,97,84,96,96,99,89,98,90,86,76,84,69,72,99,73,98,87,92,85,95
Utah,,6,6,13,7,11,10,7,11,6,12,8,14,11,16,19,11,22,7,7,11
Virginia,,34,41,36,42,33,30,36,59,49,39,29,42,40,28,48,43,34,44,42,38
Washington,,8,10,11,16,11,11,19,15,17,14,16,16,20,16,19,28,16,19,31,30
West Virginia,,2,6,2,6,5,6,6,4,6,7,5,7,10,6,8,10,11,10,11,14
Wisconsin,,7,11,12,11,10,11,11,15,17,11,13,14,13,10,7,13,21,24,18,15
Wyoming,,0,0,2,3,4,3,2,1,1,2,1,1,4,2,3,6,3,1,1,2
"Note: Data may have been revised from previously published statistics. Connecticut, Delaware, Hawaii, Rhode Island, and Vermont each operate a combined prison and jail system. For data on these states, see Mortality in State and Federal Prisons, 2001–2019 – Statistical Tables (NCJ 300953, BJS, December 2021). See Methodology.",,,,,,,,,,,,,,,,,,,,,
*Prisons and jails form one integrated system. Counts include only deaths in 15 locally operated jails and exclude deaths in state-operated prisons and jails.,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019.",,,,,,,,,,,,,,,,,,,,,
