Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stat01.csv,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 1. Estimated number of local jail inmates in custody on an average day, by inmate characteristics, 2000–2019",,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–2018; Census of Jails, 2019; Mortality in Correctional Institutions, 2000–2019; National Inmate Survey, 2007–2009 and 2011–2012; and Survey of Inmates in Local Jails, 2002",,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 1. Estimated number of local jail inmates in custody on an average day, by inmate characteristics, 2000–2019",,,,,,,,,,,,,,,,,,,,,,
Characteristic,,"Total, 2000–2019",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Unconvicted/e,"8,910,400","334,800","373,400","400,000","416,700","431,300","459,800","479,100","484,600","489,800","465,200","447,300","436,900","451,600","441,200","457,900","444,800","467,200","471,500","485,000","472,300"
Jail size/f,,,,,,,,,,,,,,,,,,,,,,
,49 or fewer inmates,"439,000","27,500","26,700","24,800","24,200","23,700","22,800","22,700","21,900","21,200","20,800","21,000","21,100","21,400","20,100","20,200","20,700","20,100","19,800","19,100","19,000"
,50–99,"751,100","38,800","38,800","40,700","40,800","41,700","39,000","39,100","37,300","38,600","37,600","36,100","35,300","36,100","35,500","37,000","36,700","36,000","36,300","35,500","34,200"
,100–249,"1,864,900","75,900","82,800","85,600","87,900","90,600","93,200","93,500","91,000","90,800","91,400","94,900","94,400","93,600","92,300","96,800","99,400","104,800","103,200","102,000","100,600"
,250–499,"2,055,400","75,500","86,100","89,800","95,400","97,000","97,600","96,800","107,700","104,800","102,800","98,900","101,400","112,000","102,500","110,800","108,200","110,000","116,000","123,600","118,500"
,500–999,"2,453,300","97,600","99,800","101,800","104,900","107,900","121,200","127,300","120,900","125,900","121,100","128,900","127,100","129,400","128,400","129,000","127,300","134,600","136,000","138,700","145,700"
,"1,000 or more","6,812,800","282,600","303,900","324,900","334,300","354,300","367,600","392,000","402,900","397,500","374,300","352,200","341,500","352,700","334,000","335,500","319,900","312,200","317,800","312,100","300,500"
"Note: Data are rounded to the nearest 100. Data may have been revised from previously published statistics. Details may not sum to totals due to rounding. Subpopulation estimates, such as sex, race or ethnicity, and age, were based on the reported proportion of the subpopulation in comparison to the total average daily population (ADP). Subpopulations for legal status were estimated using data from the Annual Survey of Jails. Subpopulations for sex and jail size were based on total counts reported to the Mortality in Correctional Institutions. See Methodology.",,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,,
c/Includes persons of two or more races and other races.,,,,,,,,,,,,,,,,,,,,,,
d/Includes persons who returned to jail on a probation or parole violation.,,,,,,,,,,,,,,,,,,,,,,
e/Includes persons in jail whose status was marked as other or was unspecified.,,,,,,,,,,,,,,,,,,,,,,
f/Jail size is based on the ADP.,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–2018; Census of Jails, 2019; Mortality in Correctional Institutions, 2000–2019; National Inmate Survey, 2007–2009 and 2011–2012; and Survey of Inmates in Local Jails, 2002.",,,,,,,,,,,,,,,,,,,,,,
