Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt22.csv,,,,,,,,,,,,,,,,,,,,,
"Table 22. Number of local jail jurisdictions reporting one or more deaths to Mortality in Correctional Institutions, by state, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 22. Number of local jail jurisdictions reporting one or more deaths to Mortality in Correctional Institutions, by state, 2000–2019",,,,,,,,,,,,,,,,,,,,,
State,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Montana,,3,1,4,5,3,4,1,2,2,6,2,6,2,4,2,5,3,4,5,4
Nebraska,,5,5,6,2,4,2,5,2,5,3,5,4,2,6,7,3,3,5,8,4
Nevada,,7,8,3,4,5,6,4,5,6,6,5,5,6,7,5,5,5,5,5,7
New Hampshire,,3,2,5,2,2,1,3,3,2,4,1,4,2,1,1,0,4,3,3,4
New Jersey,,12,10,7,12,12,11,12,15,12,11,12,10,13,10,12,12,10,12,9,7
New Mexico,,9,7,6,5,8,4,8,10,6,4,10,12,9,8,8,8,11,8,4,10
New York,,12,10,17,15,12,12,12,13,9,18,11,18,14,15,20,15,12,8,15,14
North Carolina,,13,17,18,15,17,16,17,17,14,18,19,12,23,19,18,24,18,27,22,26
North Dakota,,1,1,2,2,1,0,2,1,1,2,2,1,1,5,3,2,2,1,6,0
Ohio,,13,14,16,19,15,17,17,19,16,16,15,18,22,21,18,22,19,27,29,28
Oklahoma,,10,11,7,7,6,13,12,13,9,12,13,9,12,10,10,11,15,6,14,13
Oregon,,4,7,4,4,7,6,7,3,9,5,5,5,3,4,7,10,5,9,11,11
Pennsylvania,,15,21,23,19,28,18,20,25,16,19,15,21,23,21,21,23,19,27,24,27
South Carolina,,11,14,14,7,14,15,14,10,15,10,12,6,17,14,13,13,11,13,12,18
South Dakota,,4,2,1,0,1,3,1,1,2,2,0,1,0,2,1,4,6,0,2,1
Tennessee,,16,13,15,13,24,19,15,19,22,19,14,21,20,11,18,24,21,24,26,21
Texas,,50,40,40,42,47,49,49,38,37,43,41,43,40,52,40,45,39,44,47,44
Utah,,3,5,4,5,8,4,3,8,2,6,5,8,4,6,6,7,11,4,4,5
Virginia,,21,24,22,20,17,19,22,26,27,20,18,22,21,19,27,23,19,21,24,24
Washington,,8,7,7,10,6,11,11,8,10,9,10,12,9,10,11,15,11,12,14,15
West Virginia,,2,6,2,6,5,2,5,3,5,5,4,5,8,4,5,5,9,6,8,6
Wisconsin,,7,8,8,10,4,8,8,12,12,9,10,11,12,8,7,10,11,15,14,11
Wyoming,,0,0,2,3,3,3,2,1,1,2,1,1,2,2,3,5,2,1,1,2
"Note: Data may have been revised from previously published statistics. Connecticut, Delaware, Hawaii, Rhode Island, and Vermont each operate a combined prison and jail system. For data on these states, see Mortality in State and Federal Prisons, 2001–2019 – Statistical Tables (NCJ 300953, BJS, December 2021). See Methodology.",,,,,,,,,,,,,,,,,,,,,
*Prisons and jails form one integrated system. Counts include only deaths in 15 locally operated jails and exclude deaths in state-operated prisons and jails.,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019.",,,,,,,,,,,,,,,,,,,,,
